city,country,region,lat,lon,population,founded,business_activity
Algiers,Algeria,Africa,36.75,3.05,3415811,944,Beta-
Luanda,Angola,Africa,-8.83,13.22,2487444,1575,Gamma-
Porto-Novo,Benin,Africa,6.48,2.62,234168,,Gamma-
Gaborone,Botswana,Africa,-24.63,25.9,246325,1965,High Sufficiency
Diego Garcia,British Indian Ocean Territory,Africa,-7.3,72.4,4202,,High Sufficiency
Ouagadougou,Burkina Faso,Africa,12.37,-1.52,2453496,1050,Beta
Gitega,Burundi,Africa,-3.43,29.93,135467,1912,Gamma-
Yaoundé,Cameroon,Africa,3.85,11.5,2440462,1888,Beta
Praia,Cape Verde,Africa,14.92,-23.52,159050,1858,Gamma-
Bangui,Central African Republic,Africa,4.37,18.58,15227,1786,High Sufficiency
N'Djamena,Chad,Africa,12.1,15.03,1092066,1900,Beta-
Moroni,Comoros,Africa,-11.7,43.23,85400,,Sufficiency
Kinshasa,DR Congo,Africa,-4.32,15.3,14565700,1881,Beta-
Djibouti,Djibouti,Africa,11.58,43.15,603900,1888,Gamma
Cairo,Egypt,Africa,30.05,31.25,9801536,969,Gamma-
Ciudad de la Paz,Equatorial Guinea,Africa,1.35,10.49,2000,2021,High Sufficiency
Asmara,Eritrea,Africa,15.33,38.93,963000,1897,Gamma
Mbabane,Eswatini,Africa,-26.32,31.13,76218,1902,Sufficiency
Addis Ababa,Ethiopia,Africa,9.03,38.7,5704000,1886,Gamma
Libreville,Gabon,Africa,0.38,9.45,899000,1849,Gamma
Banjul,Gambia,Africa,13.45,-16.57,31356,1816,High Sufficiency
Accra,Ghana,Africa,5.55,-0.22,1782150,,Beta
Conakry,Guinea,Africa,9.5,-13.7,1667864,,Beta-
Bissau,Guinea-Bissau,Africa,11.85,-15.58,492004,1687,Gamma-
Yamoussoukro,Ivory Coast,Africa,6.82,-5.27,340234,,Gamma-
Nairobi,Kenya,Africa,-1.28,36.82,5545000,1899,Beta
Maseru,Lesotho,Africa,-29.32,27.48,343541,1869,Gamma-
Monrovia,Liberia,Africa,6.3,-10.8,1021762,1822,Beta-
Tripoli,Libya,Africa,32.88,13.17,30383,,High Sufficiency
Antananarivo,Madagascar,Africa,-18.92,47.52,1275207,1625,Beta-
Lilongwe,Malawi,Africa,-13.97,33.78,989318,1902,Gamma
Bamako,Mali,Africa,12.65,-8.0,4227569,,Beta
Nouakchott,Mauritania,Africa,18.07,-15.97,1446761,,Beta-
Port Louis,Mauritius,Africa,-20.15,57.48,149194,1735,Gamma-
Mamoudzou,Mayotte,Africa,-12.78,45.22,71437,2011,Sufficiency
Casablanca,Morocco,Africa,33.5731,-7.5898,3215935,,Alpha-
Rabat,Morocco,Africa,34.02,-6.82,509916,1146,Gamma
Maputo,Mozambique,Africa,-25.95,32.58,1133200,1781,Gamma
Windhoek,Namibia,Africa,-22.57,17.08,486169,1840,Gamma-
Niamey,Niger,Africa,13.52,2.12,1496260,,Beta-
Abuja,Nigeria,Africa,9.08,7.53,1693400,1828,Beta-
Brazzaville,Republic of the Congo,Africa,-4.25,15.28,2145783,1880,Beta
Kigali,Rwanda,Africa,-1.95,30.05,1745555,1907,Beta-
Saint-Denis,Réunion,Africa,-20.88,55.45,115237,,Gamma-
Jamestown,"Saint Helena, Ascension and Tristan da Cunha",Africa,-15.93,-5.72,,1995,Sufficiency
Dakar,Senegal,Africa,14.73,-17.63,1438725,,High Sufficiency
Victoria,Seychelles,Africa,-4.62,55.45,,,Sufficiency
Freetown,Sierra Leone,Africa,8.48,-13.23,1055964,1792,Beta-
Mogadishu,Somalia,Africa,2.07,45.33,2120000,,Beta
Johannesburg,South Africa,Africa,-26.2041,28.0473,4803262,1886,Alpha
Pretoria,South Africa,Africa,-25.7,28.22,741651,1855,Beta+
Juba,South Sudan,Africa,4.85,31.62,500088,1922,Gamma
Khartoum,Sudan,Africa,15.6,32.53,5345000,,Alpha-
São Tomé,São Tomé and Príncipe,Africa,0.34,6.73,71868,1485,Sufficiency
Dodoma,Tanzania,Africa,-6.16,35.75,213636,1906,Gamma-
Lomé,Togo,Africa,6.14,1.21,2188376,,Beta
Tunis,Tunisia,Africa,36.8,10.18,602560,,Gamma+
Kampala,Uganda,Africa,0.32,32.55,1797722,,Gamma
El Aaiún,Western Sahara,Africa,-13.28,27.14,262791,1938,Gamma-
Lusaka,Zambia,Africa,-15.42,28.28,2204059,1905,Gamma-
Harare,Zimbabwe,Africa,-17.82,31.03,2150000,1890,Gamma-
The Valley,Anguilla,Americas,18.22,-63.05,1067,,High Sufficiency
Saint John's,Antigua and Barbuda,Americas,17.12,-61.85,110525,1497,Gamma-
Buenos Aires,Argentina,Americas,-34.58,-58.67,3121707,1580,Alpha-
Oranjestad,Aruba,Americas,12.52,-70.03,28658,1796,High Sufficiency
Nassau,Bahamas,Americas,25.08,-77.35,4687,,High Sufficiency
Bridgetown,Barbados,Americas,13.1,-59.62,652503,,Gamma
Belmopan,Belize,Americas,17.25,-88.77,20754,1970,High Sufficiency
Hamilton,Bermuda,Americas,32.28,-64.78,569353,1846,Gamma
Sucre,Bolivia,Americas,-19.02,-65.26,8098,1892,Gamma
Brasília,Brazil,Americas,-15.79,-47.88,2996899,1960,Beta
Rio de Janeiro,Brazil,Americas,-22.9068,-43.1729,6730729,1565,Gamma-
São Paulo,Brazil,Americas,-23.5505,-46.6333,11904961,1554,Alpha-
Road Town,British Virgin Islands,Americas,18.42,-64.62,12603,,High Sufficiency
Ottawa,Canada,Americas,45.42,-75.7,1017449,1855,Beta-
Toronto,Canada,Americas,43.6532,-79.3832,2794356,1750,Alpha
Kralendijk,Caribbean Netherlands,Americas,12.14,-68.27,12531,1837,High Sufficiency
George Town,Cayman Islands,Americas,19.3,-81.38,794313,1786,Gamma
Santiago,Chile,Americas,-33.45,-70.67,444851,1514,Beta+
Bogotá,Colombia,Americas,4.71,-74.07,8034649,1538,Beta-
San José,Costa Rica,Americas,9.93,-84.09,1013240,1777,Beta-
Havana,Cuba,Americas,23.12,-82.35,2492618,1515,Gamma-
Willemstad,Curaçao,Americas,12.1,-68.92,150000,1634,Gamma-
Roseau,Dominica,Americas,15.3,-61.4,16571,,High Sufficiency
Santo Domingo,Dominican Republic,Americas,18.47,-69.9,2201941,1496,Gamma+
Quito,Ecuador,Americas,-0.22,-78.5,1763275,1534,Gamma-
San Salvador,El Salvador,Americas,13.7,-89.2,330543,1525,Gamma+
Stanley,Falkland Islands,Americas,-51.7,-57.85,33320,,High Sufficiency
Cayenne,French Guiana,Americas,4.94,-52.33,62675,1664,Sufficiency
Nuuk,Greenland,Americas,64.18,-51.75,18326,1721,High Sufficiency
St. George's,Grenada,Americas,32.38,-64.68,33734,1650,High Sufficiency
Basse-Terre,Guadeloupe,Americas,16.03,-61.73,9417,1643,High Sufficiency
Guatemala City,Guatemala,Americas,14.62,-90.52,994938,1524,Beta+
Georgetown,Guyana,Americas,6.8,-58.15,67176,1848,Sufficiency
Port-au-Prince,Haiti,Americas,18.53,-72.33,987310,1749,Gamma
Tegucigalpa,Honduras,Americas,14.1,-87.22,850848,1578,Beta+
Kingston,Jamaica,Americas,17.997,-76.7936,937700,1692,Gamma
Fort-de-France,Martinique,Americas,14.6,-61.08,75506,,Sufficiency
Mexico City,Mexico,Americas,19.43,-99.13,9209944,1521,Alpha-
Plymouth,Montserrat,Americas,16.7,-62.22,9370,1825,High Sufficiency
Managua,Nicaragua,Americas,12.13,-86.25,973087,1819,Gamma
Panama City,Panama,Americas,8.97,-79.53,1540000,1519,Alpha-
Asunción,Paraguay,Americas,-25.28,-57.57,462241,1537,Gamma-
Lima,Peru,Americas,-12.05,-77.05,9943800,1535,Alpha-
San Juan,Puerto Rico,Americas,18.47,-66.12,471389,1562,Gamma-
Gustavia,Saint Barthélemy,Americas,17.88,-62.85,9131,1785,High Sufficiency
Basseterre,Saint Kitts and Nevis,Americas,17.3,-62.72,12920,1627,High Sufficiency
Castries,Saint Lucia,Americas,14.0,-61.0,20000,1650,High Sufficiency
Marigot,Saint Martin,Americas,18.07,-63.08,5700,,High Sufficiency
Saint-Pierre,Saint Pierre and Miquelon,Americas,46.77,-56.18,3256,,High Sufficiency
Kingstown,Saint Vincent and the Grenadines,Americas,13.13,-61.22,24518,1722,High Sufficiency
Philipsburg,Sint Maarten,Americas,18.02,-63.03,1338,,High Sufficiency
Paramaribo,Suriname,Americas,5.83,-55.17,223757,1613,Gamma-
Port of Spain,Trinidad and Tobago,Americas,10.65,-61.52,49031,,High Sufficiency
Cockburn Town,Turks and Caicos Islands,Americas,21.46,-71.14,4100,1681,High Sufficiency
Chicago,United States,Americas,41.8781,-87.6298,2746388,,Alpha
Houston,United States,Americas,29.7604,-95.3698,2304580,1836,Alpha-
Los Angeles,United States,Americas,34.0522,-118.2437,3898747,1781,Alpha
New York City,United States,Americas,40.7128,-74.006,8804190,1624,Alpha++
"Washington, D.C.",United States,Americas,38.89,-77.05,689545,1790,Beta+
Charlotte Amalie,United States Virgin Islands,Americas,18.35,-64.93,14477,1666,High Sufficiency
